"Animal","Young","Female","Male","Collective noun","Collateral adjective","Culinary noun for meat"
"","","","","","","rock salmon (UK)"
"Dolphin","calf","cow","bull","school[37]","delphine",""
"","pup","","","pod","",""
"","","","","herd","",""
"","","","","team[37]","",""
"Donkey (list)- See Ass","","","","","",""
"Dotterel","?","?","?","trip[2][12]","?",""
"Dove","chick","hen","cock","arc[9]","columbine",""
"","","","","cote ","",""
"","","","","dole[2][37]","",""
"","","","","dule[9][37]","",""
"","","","","flight[2][9][37]","",""
"","","","","piteousness[2][37]","",""
"","","","","pitying[9]","",""
"Dragonfly","nymph","queen","king","cluster","anisopteran",""
"","","","drake","flight","",""
"Duck (list) ","duckling","duck","drake","On land","anatine","poultry"
"Also see Mallard","","hen","","flock","fuliguline",""
"","","","","herd","",""
"","","","","badling[12]","",""
"","","","","brace[12]","",""
"","","","","safe[2]","",""
"","","","","sord[37]","",""
"","","","","sore[37]","",""
"","","","","waddling[37]","",""
"","","","","","",""
"","","","","On water","",""
"","","","","bunch[2][37]","",""
"","","","","paddling[2][37]","",""
"","","","","raft[2][37]","",""
"","","","","","",""
"","","","","In flight","",""
"","","","","skein[37]","",""
"","","","","string[37]","",""
"","","","","team[12][37]","",""
"Dugong","calf","cow","bull","herd","dugongine",""
"Dunlin","chick","?","?","fling[2]","?",""
"E","","","","","",""
"Eagle","eaglet","N/A","N/A","convocation[9][12]","aquiline",""
"","fledgling","","","","",""
"Echidna","puggle","?","?","N/A","tachyglossine",""
"","(in common use, but not scientifically endorsed)","","","","",""
"Eel","leptocephalus (larva)","N/A","N/A","bed[9]","anguilline",""
"","elver (juvenile)","","","swarm[9]","",""
"Eland","calf","cow","bull","herd","?",""
"Elephant","calf[27]","cow[28]","bull[45]","herd","elephantine",""
"","","","","memory[9]","proboscine",""
"","","","","","proboscidean",""
"Elephant seal","calf","cow","bull","herd","miroungan",""
"","","","","pack","",""
"Elk (wapiti)","calf[13]","cow[13]","bull[13]","gang[9]","cervine","venison"
"","","","","herd[9]","",""
"Emu","chick","?","?","mob[9]","?",""
"","hatchling","","","","",""
"F","","","","","",""
"Falcon","eyass/eyas","falcon","tiercel","?","acciptrine",""
"","","","tercel","","",""
"","","","terzel","","",""
"Ferret","kit","jill","hob","busyness[15]","musteline",""
"","","","","business[9][12]","",""
"Finch","chick","hen","cock","charm[12]","fringilline",""
"Fish (list)","fry","?","?","school[3]","piscine",""
"","fingerling","","","","",""
"Flamingo","chick","?","?","","phoenicopterine",""
"Fly","maggot","?","?","business[9]","dipterous",""
"","","","","cloud[9]","",""
"","","","","swarm[9]","",""
"Fox","cub[21]","vixen","tod","leash[9][12]","vulpine",""
"","kit","","dog","skulk[9][12]","",""
"","pup[5]","","reynard","","",""
"Frog","polliwog","?","?","army[12]","ranine",""
"","tadpole","","","","",""
"","froglet","","","","",""
"G","","","","","",""
"Gaur","calf","cow","bull","herd","bovine","garabeef"
"","","","","","gaurine",""
"Gazelle","calf[13]","cow[13]","bull[13]","herd","gazelline",""
"Gerbil","pup","doe","buck","horde","cricetine",""
"Giant panda","cub","sow","boar","sleuth[46] embarrassment [47]","ailuropodine",""
"Giraffe","calf","cow","bull","herd","giraffine",""
"","","","","corps[48]","",""
"","","","","tower[48][49]","",""
"Gnat","larva","?","?","cloud[9][12][48]","?",""
"","","","","horde[9][12][48]","",""
"","","","","rabble[48]","",""
"","","","","swarm[9][48]","",""
"Gnu","calf","cow","bull","herd","?",""
"","","","","implausibility[50]","",""
"Goat (list)","kid","nanny","billy","herd","caprine","chevon"
"","","doe","buck","flock[48]","","cabrito"
"","","doeling","buckling","tribe[48]","","mutton"
"","","","wether (castrated)","trip[48]","",""
"","","","","trippe[48]","",""
"Goldfinch","?","?","?","charm[48]","cardueline",""
"Goosander","?","?","?","dopping[48]","?",""
"Goose","gosling","goose","gander","On land","anatine","poultry"
"","","","","flock","anserine",""
"","","","","gaggle[12][48]","",""
"","","","","plump[48]","",""
"","","","","","",""
"","","","","In flight","",""
"","","","","skein[2][12][48]","",""
"","","","","team[2][48]","",""
"","","","","wedge[2][48]","",""
"","","","","chevron[citation needed]","",""
"Gorilla","infant","N/A","blackbacksilverback","band[9][12][48]","simian",""
"","","","","troop[9]","",""
"","","","","whoop[48]","",""
"Goshawk","?","?","?","flight[15][48]","?",""
"Grasshopper","nymph","?","?","cloud[48]","caeliferian",""
"","","","","swarm[48]","",""
"Grouse","?","?","?","covey[48]","tetraonine",""
"","","","","pack[48]","",""
"Guanaco","chulengo[51]","?","?","herd","camelid",""
"Guinea fowl","keet","hen","cock","rasp[52]","numidine","poultry"
"","","","","flock[53]","",""
"Guinea pig","pup","sow","boar","herd","?","cuy"
"Gull","chick","hen","cock","colony","larine",""
"","","","","flock","",""
"H","","","","","",""
"Hamster","pup","doe","buck","horde","cricetid",""
"Hare","leveret","doe","buck","band","leverine",""
"","","jill","jack","down[54]","leporine",""
"","","","","drove[54]","",""
"","","","","flick[54]","",""
"","","","","husk[54]","",""
"Hawk","eyas","hen","tiercel","cast[55][note 5]","accipitrine",""
"","","","","aerie[55][note 6]","",""
"","","","","staff[55][note 7]","",""
"","","","","leash[55][note 8]","",""
"","","","","flight[55][note 9]","",""
"","","","","flock[55]","",""
"","","","","","",""
"","","","","Migrating in large groups","",""
"","","","","kettle[9][55]","",""
"","","","","boil[12][55]","",""
"","","","","cauldron[55]","",""
"Hedgehog","hoglet","sow","boar","array[54]","erinaceine",""
"","piglet","","","","",""
"","pup","","","","",""
"Heron","chick","hen","cock","flight[54]","ardeidine",""
"","","","","sedge[9][12][54]","",""
"","","","","sege[35][54]","",""
"","","","","siege[9][12][36][54]","",""
"Herring","?","?","?","army[12][54]","clupeidean",""
"","","","","glean[54]","",""
"","","","","shoal[54]","",""
"Hippo","calf","cow","bull","sea[9][12][54]","hippopotamine",""
"","","","","herd[54]","",""
"","","","","thunder[33]","",""
"Hornet","larvae","queen","drone","bike[54]","vespine",""
"","pupae","","","nest[12]","",""
"","","","","swarm","",""
"Horse (list)","foal","mare","stallion","stable[9]","equine",""
"","colt (male)","dam","stud","stud[12]","",""
"","filly (female) ","","","harras[12]","",""
"","gelding (castrated male)","","","herd (wild horses)[9]","",""
"","","","","band (wild horses)[9]","",""
"","","","","team (work horses)[9][12]","",""
"","","","","rag (colts)[12]","",""
"","","","","string (ponies)[12]","",""
"","","","","field (racehorses)","",""
"Hummingbird","chick","hen","cock","?","trochiline",""
"","","","","","trochilidine",""
"Hyena","cub","bitch","dog","cackle[9][12]","hyenine",""
"","pup","","","","",""
"","whelp","","","","",""
"I","","","","","",""
"Ibex","kid","nanny","billy","herd","caprine",""
"Ibis","chick","?","?","?","threskiornithine",""
"Impala","Impala","","","","",""
"J","","","","","",""
"Jackal","pup","?","?","pack","?",""
"Jaguar","cub","?","?","prowl[56] ","?",""
"","","","","leap[56]","",""
"Jay","chick","hen","cock","band[9]","corvine",""
"","","","","party[12]","",""
"","","","","scold[12]","",""
"Jellyfish","planula","sow","boar","bloom","scyphozoan",""
"","polyp","","","brood[9]","",""
"","ephyra[57]","","","fluther[2]","",""
"","","","","smack[2][12]","",""
"","","","","smuth[7]","",""
"K","","","","","",""
"Kangaroo","joey","flyer","boomer","court","macropodine",""
"","","doe","buck","herd","",""
"","","jill","jack","troop[12]","",""
"","","roo","","mob[58]","",""
"Kinkajou","pup ","sow","boar","troop ","potosine",""
"","kit","","","convergence","",""
"Koala","joey","doe","buck","?","phascolarctine",""
"Komodo dragon","hatchling","cow","bull","?","varanine",""
"","chick","hen","cock","","",""
"","calf","","","","",""
"Kouprey","calf","cow","bull","herd","sauveline",""
"","","","","","bovine",""
"Kudu","calf","cow","bull","herd","tragelaphine",""
"L","","","","","",""
"Lapwing","chick","?","?","deceit[12][15]","vanelline",""
"","","","","desert[2]","",""
"Lark","chick","hen","cock","exaltation[2][15]","alaudine",""
"Lemur","infant","?","?","conspiracy[59]","lemurine",""
"Leopard","cub","leopardess","leopard","leap[2][9][12]","pardine",""
"","","","","lepe[2]","",""
"Lion","cub[21]","lioness","lion","pride","leonine",""
"","","","","sawt","",""
"Llama","cria","?","?","herd","camelid",""
"","","","","flock","",""
"Lobster","?","hen[3]","cock[3]","risk","homarine",""
"Locust (list)","nymph","N/A","N/A","cloud","caelifera",""
"","","","","host","",""
"","","","","swarm","",""
"Loris","infant","","","colony[60]","lorisine[61]",""
"Louse","nymph","N/A","N/A","colony","pediculine",""
"Lyrebird","chick","hen","cock","?","menurine",""
"M","","","","","",""
"Magpie","chick","hen","cock","flock","garruline",""
"Mallard","duckling","hen","greenhead[62]","sord[2]","anatine","poultry"
"Also see Duck","","","","suit[2]","",""
"Mammoth","calf","cow","bull","herd","mammutine",""
"","","","","pack","",""
"Manatee","calf","cow","bull","herd","manatine",""
"","","","","","sirenian",""
"Mandrill","infant","N/A","N/A","horde","simian",""
"Mink","cub","sow","boar","?","musteline",""
"","kit","","","","",""
"Mole","pup","sow","boar","?","talpine",""
"Mongoose","pup","?","?","troop ","herpestine",""
"","","","","committee ","",""
"","","","","delegation","",""
"Monkey","infant","N/A","N/A","troop[2]","simian",""
"Moose","calf[13]","cow[13]","bull[13][45]","herd","cervine","venison"
"Mosquito","nymph","N/A","N/A","swarm","aedine",""
"","wriggler","","","cloud","anopheline",""
"","tumbler","","","","",""
"Mouse","kitten","doe","buck","colony","murine",""
"","pup","","","nest","",""
"","","","","","",""
"","As pet food","","","","",""
"","pinky/fuzzy/crawler/hopper[63]","","","","",""
"N","","","","","",""
"Narwhal","calf","?","?","?","?",""
"Newt","eft[64]","?","?","?","pleurodeline",""
"Nightingale","chick","hen","cock","flock","philomelian",""
"Nine-banded armadillo","?","?","?","?","?",""
"O","","","","","",""
"Octopus","fry","hen[65]","?","consortium[66]","octopodine",""
"Okapi","calf","cow","bull","herd","okapine",""
"Opossum","joey","jill","jack","passel","didelphine",""
"Ostrich","hatchling","hen","cock","flock","ratite",""
"","chick","","","troop","struthious",""
"Otter","pup","sow","boar","?","musteline",""
"","whelp","","","","lutrine",""
"Owl","fledgling","?","?","parliament[9]","strigine",""
"","owlet","","","","",""
"Oyster","spat","?","?","bed[9]","ostracine",""
"P","","","","","",""
"Panther","cub","pantheress","?","?","pantherine",""
"Parrot","chick","hen","cock","flock","psittacine",""
"Panda- See Giant panda","","","","","",""
"Partridge","chick","hen","cock","?","perdicine",""
"","","chantelle","","","",""
"Peafowl","chick","peahen","peacock","?","pavonine","poultry"
"","peachick","","","","",""
"Pelican","chick","?","?","pod[9]","pelecanine",""
"","nestling","","","","",""
"Penguin","chick","?","?","waddle (on land)[67][68]","spheniscine",""
"","nestling","","","raft (in water)[67]","",""
"","","","","rookery[67]","",""
"","","","","colony[67]","",""
"","","","","huddle[67]","",""
"","","","","tuxedo[7]","",""
"Pheasant","chick","hen","cock","flock","phasianine",""
"","","","","bouquet[9][12]","",""
"","","","","nest[12]","",""
"","","","","nide[12]","",""
"","","","","nye[9][12]","",""
"Pig (list) ","piglet","sow (bred),","boar","drift[9][12][71]","porcine","pork"
"Also see Boar","farrow","gilt (not bred)[69]","barrow (castrated)[70]","drove[9][12]","suilline","ham"
"","shoat/shote (just weaned)","","","litter (piglets)","","bacon"
"Pigeon (list)","squab","hen","cock","flock ","pullastrine","squab"
"","squeaker","","","flight[72]","",""
"","","","","kit[72]","",""
"Polar bear","cub","sow","boar","aurora[73]","ursine",""
"","","","","celebration[73]","",""
"","","","","pack[73]","",""
"Pony- See Horse","","","","","",""
"Porcupine","pup","sow","boar","prickle[72]","hystricine",""
"Porpoise","calf","cow","bull","pod","phocoenine",""
"","","","","school","",""
"","","","","shoal","",""
"Prairie dog","pup","sow","boar","town","cynomurine",""
"Q","","","","","",""
"Quail","chick","hen","cock","bevy","galliformine",""
"Quelea","chick","hen","cock","flock","queline",""
"Quetzal","nestling","?","?","flock","trogonine",""
"R","","","","","",""
"Rabbit (list)","bunny","doe","buck","nest","leporine",""
"","kit","jill","jack","litter (young)","",""
"","kitten","","","wrack (young)","",""
"","nestling","","","","",""
"Raccoon","cub","sow","boar","gaze ","procyonine",""
"","kit","","","nursery ","",""
"","","","","committee ","",""
"","","","","smack ","",""
"","","","","brace ","",""
"","","","","troop","",""
"Ram","lamb","ewe","ram","flock","arietine","lamb"
"Also see Sheep","","","","","ovine","mutton"
"Rat (list)","kitten ","doe","buck","colony","murine",""
"","pup","cow","bull","horde","",""
"","","","","mischief[74]","",""
"Raven","chick","hen","cock","unkindness","corvine",""
"Red deer","calf","hind","stag","herd","?","venison"
"","","","hart","","",""
"Red panda","cub","sow","boar","pack","ailurid",""
"Reindeer (caribou)","calf","cow","bull","herd","rangiferine",""
"Rhinoceros","calf","cow","bull","herd","ceratorhine",""
"","","","","crash[75]","",""
"Rook","?","?","?","building[2]","?",""
"","","","","parliament[2][76]","",""
"S","","","","","",""
"Salamander","larva","?","?","maelstrom","caudatan",""
"","","","","","salamandrine",""
"Salmon","parr[77]","hen","cock","?","salmonine",""
"Sand dollar","larva pluteus (free swimming stage)","?","?","?","clypeasteroid",""
"","juvenile (young urchin)","","","","",""
"Sandpiper","?","?","?","fling[78]","scolopacine",""
"Sardine","?","?","?","family [78]","?",""
"Sea lion","pup","cow","bull","?","otarine",""
"","calf","","","","",""
"Seahorse","seafoal","seamare","seastallion","shoal","hippocampal",""
"Seal","pup[5]","cow","bull","herd[78]","phocine",""
"","","","","pod[78]","",""
"","","","","rookery[78]","",""
"Shark","cub[21]","?","bull","shiver [80]","selachian ","flake (AUS)"
"","pup[79]","","","","squaloid",""
"Sheep (list) ","lamb","ewe","ram","flock","ovine","lamb"
"Also see Ram","lambkin","dam","buck","fold","","mutton"
"","cosset","","wether (castrated)","herd","","hoggett"
"Shrew","shrewlet","sow","boar","colony","soricine",""
"","","","","drove","",""
"Skunk","kit","sow","boar[3]","surfeit","mephitine",""
"Sloth","kitten ","sow","boar","N/A","xenarthran (broader group)",""
"","pup ","","","","",""
"","baby","","","","",""
"Snail","?","?","?","escargatoire[78][81]","gastropodian","escargot"
"","","","","rout[78][82]","",""
"","","","","walk[78]","",""
"Snake  (list)","snakelet","N/A","N/A","nest ","anguine",""
"","hatchling (a newly hatched snake)","","","ball ","elapine",""
"","neonate (newborn)","","","slither","serpentine",""
"","","","","","viperine",""
"","","","","","ophidian",""
"Spider  (list)","spiderling","?","?","cluster[78]","arachnine",""
"","","","","clutter[78]","arachnoid",""
"Squid","fry","","","shoal","Teuthidane",""
"Squirrel","pup","doe","buck","scurry[33]","sciurine",""
"","kit","","","dray[72]","",""
"","kitten","","","","",""
"Starling","?","?","?","chattering[9][31]","sturnine",""
"","","","","murmuration[2][9][12][15]","",""
"Stegosaurus","?","?","?","handful[83]","",""
"Swan","cygnet","pen","cob","flock","cygnine",""
"","flapper","","","lamentation","",""
"T","","","","","",""
"Tapir","calf","cow","bull","herd","tapirine",""
"Tarsier","infant","doe","buck","herd","tarsiine",""
"Termite","larva","cow","bull","colony","isopteran",""
"","","","","nest","",""
"","","","","swarm","",""
"Tiger","cub[21]","tigress","tiger","ambush[9]","tigrine",""
"","whelp","","","streak[33]","",""
"Toad","tadpole","N/A","N/A","knot[9][12]","ranine",""
"","toadlet","","","","batrachian",""
"Turkey (list)","poult","hen","gobbler","rafter[84][85]","?","poultry"
"","","","stag","","",""
"","","","tom ","","",""
"","","","jake (immature)","","",""
"Turtle","hatchling","N/A","N/A","bale[86]","chelonian",""
"U","","","","","",""
"V","","","","","",""
"Vicuña","calf","cow","bull","posse","cameline",""
"","","","","herd","",""
"W","","","","","",""
"Wallaby","joey","jill","jack","mob","?",""
"Walrus","calf","cow","bull","herd","odobenine",""
"","","","","flock","",""
"Wasp","larva","queen","drone","swarm","vespine",""
"","","worker","","hive","",""
"","","","","colony","",""
"","","","","nest","",""
"Water buffalo","calf","cow","bull","?","?","carabeef"
"Weasel","pup","bitch","buck","gang[14]","musteline",""
"","kit","doe","dog","sneak[14]","",""
"","","jill","hub","","",""
"","","","jack","","",""
"Whale","calf[27]","cow[28]","bull","pod","cetacean","blubber"
"","","","","school","cetaceous",""
"Wolf","pup[5]","bitch","dog","pack","lupine",""
"","puppy","she-wolf","","","canine",""
"","cub","","","","",""
"","whelp","","","","",""
"Wolverine","kit","angeline","wolverine","pack","musteline",""
"","whelp","","","","",""
"Wombat","joey","jill","jack","wisdom[87]","?",""
"Wren","chick","cow","bull","?","troglodytine",""
"X","","","","","",""
"Y","","","","","",""
"Yak","calf","cow","bull","herd","?",""
"Z","","","","","",""
"Zebra","colt","mare","stallion","herd[9][88]","zebrine",""
"","foal","","","cohort[88]","hippotigrine",""
"","","","","dazzle [89]","",""
"","","","","zeal[9][88]","",""
